Name|Address|Phone|Sex|Dept|BirthDate 
Walter Hyde|920-6387 Faucibus Street|1431262188|M|SPEA|07-04-77 
Leo Chen|5178 Magna St.|5489340771|M|Business|01-24-72 
Hasad Malone|Ap #448-9882 Enim Road|7905459242|M|Music|04-15-89 
Conan Copeland|P.O. Box 159 9952 Vel Road|5458428472|M|Computer Science|02-22-66
Malcolm Sheppard|9308 Donec Rd.|8539634093|M|Informatics|11-03-58 
Hunter Hughes|993-1692 Ipsum Rd.|2671666962|M|Informatics|12-26-53 
Elliott Winters|2368 Sagittis. Avenue|4177188869|M|Music|02-27-72 
Allen Lawrence|P.O. Box 923 7752 Feugiat Rd.|1661901663|M|Computer Science|12-21-70 
Jasper Blackwell|875-1280 Egestas. Rd.|5324030739|M|Music|04-09-94 
Jordan Knox|Ap #450-7655 Suspendisse Ave|4913155396|M|Psychology|12-10-54 
Castor Randall|P.O. Box 251 6116 Libero. St.|9814653774|M|SPEA|09-09-86 
Hamilton Hopkins|P.O. Box 916 8047 Ipsum St.|7088687713|M|Computer Science|06-17-75 
Craig Branch|604-9766 Integer Rd.|2601470356|M|Informatics|09-06-89 
Ray Bishop|3155 Egestas. Rd.|6981581182|M|Studio Arts|11-19-66 
Edan Wolf|Ap #851-9710 Metus. St.|7945204019|M|Psychology|06-28-58 
Gil Price|P.O. Box 815 7729 Amet Av.|2941919461|M|Physics|05-01-51 
Hoyt Tate|549-172 Donec Street|8216036435|M|Chemistry|08-15-60 
Kane Rich|Ap #594-6946 Aliquam Av.|7802894955|M|Informatics|04-03-67 
Gil Deleon|881-8409 Mi St.|5641308426|M|Biology|12-18-81 
Wyatt Stephenson|8281 Lectus Ave|9093977617|M|Computer Science|01-28-53 
Palmer Lindsey|1618 Ornare Avenue|9656445538|M|SPEA|10-02-75 
Harper York|141-9675 Duis St.|8796882447|M|Psychology|02-07-57 
Gregory Adkins|P.O. Box 281 8745 Facilisis Av.|3413390258|M|SPEA|05-26-74 
Joshua Holder|P.O. Box 950 1338 Vulputate St.|9812635869|M|Biology|04-19-65 
Nasim Beard|199-8958 Eros Rd.|9208306413|M|Biology|04-28-68 
Ryan Cummings|P.O. Box 283 7789 Sed Ave|7618500694|M|Chemistry|10-15-82 
August Cooley|Ap #542-1515 Bibendum Avenue|1233909184|M|Computer Science|12-16-91 
Paki Byers|Ap #104-1641 Justo Avenue|2966078398|M|Biology|11-17-69 
Linus Carpenter|Ap #917-806 Quis Avenue|5856074745|M|Computer Science|05-24-63 
Leroy Higgins|5516 Ornare St.|2948853719|M|Psychology|05-13-65 
Elijah Rose|9878 Gravida Rd.|3493244193|M|Business|07-29-90 
Alden Sykes|Ap #106-2683 Sed Avenue|3383306239|M|Chemistry|09-14-76 
Phillip Irwin|Ap #577-2272 Dolor. Street|6476709532|M|Physics|03-15-73 
Armand Cobb|P.O. Box 651 3783 Quam. Avenue|6982146803|M|Informatics|01-26-79 
Dieter Riley|Ap #698-5127 Faucibus Street|4569929840|M|Biology|08-30-77 
Jonah Young|Ap #857-9578 Mauris St.|3149685374|M|SPEA|11-26-54 
Hammett Mckenzie|8482 Mi Av.|8305297347|M|Music|04-04-61 
Todd Hester|P.O. Box 681 3710 Orci Avenue|7915898840|M|Studio Arts|04-10-88 
Kane Vazquez|7201 Elit Street|6667204219|M|Music|10-18-79 
Zeph Mercer|8495 Aliquam Rd.|1763639307|M|Psychology|02-10-58 
Reed Sexton|Ap #586-5273 Nonummy Rd.|2509316043|M|Computer Science|07-15-52 
Marsden Palmer|9423 Tempor Avenue|8944494904|M|Studio Arts|08-28-71 
Branden Golden|7886 Non Rd.|3593380233|M|Biology|08-25-85 
Dolan Cooley|288-1309 Neque St.|6765599413|M|Informatics|11-27-85 
Forrest Sargent|258-1200 Enim Avenue|3145302958|M|Studio Arts|09-13-90 
Timothy Pratt|Ap #734-2135 Nullam Road|5647778121|M|SPEA|09-15-84 
Driscoll Finch|Ap #495-5224 Placerat. Av.|9817072540|M|Studio Arts|03-06-68 
Donovan Schneider|P.O. Box 972 2159 Tempus Avenue|6781288448|M|SPEA|10-15-68
Gil Harrison|Ap #529-9233 Cursus. St.|3393650453|M|Computer Science|03-31-89 
Dillon Hays|Ap #779-6524 Vivamus Street|7833766792|M|Informatics|04-22-64 
Leroy Stafford|522-7468 Ante Road|7734312630|M|Biology|05-07-63 
Fritz Thomas|Ap #950-2205 Ligula. Road|7252029363|M|SPEA|06-20-80 
Barry Witt|9816 Ante St.|9335252504|M|Informatics|01-14-55 
Cyrus Wilson|5053 Malesuada St.|2812801146|M|Biology|12-06-58 
Harding Gilbert|363-1030 Malesuada. Av.|3311839957|M|Studio Arts|05-23-56 
Henry Mullins|136-1533 Non Av.|1843966174|M|Chemistry|04-12-86 
Barry Howell|Ap #721-150 Proin Road|2443651080|M|Physics|09-21-76 
Lionel Olsen|Ap #657-3357 Sed Av.|7995909435|M|Informatics|08-04-67 
Calvin Kemp|832-1509 Cursus. Rd.|8664044983|M|Psychology|11-22-58 
Colton Kline|997-4809 Elit Avenue|6475551201|M|Physics|10-01-62 
